id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
94,2016,"Yakult Swallows","Jae-Hoon Ha",25,17,42,40,3,9,2,0,0,2,0,1,2,12,0.225,0.262,0.275,0.537,11,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ha----001jae"
95,2016,"Yakult Swallows","Juri Hara",22,13,20,19,1,2,1,0,0,2,0,0,0,4,0.105,0.105,0.158,0.263,3,0,0,1,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","hara--000jur"
96,2016,"Yakult Swallows","Kazuhiro Hatakeyama",33,45,190,163,15,40,10,0,1,18,0,1,26,24,0.245,0.353,0.325,0.678,53,6,1,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","hatake001kaz"
97,2016,"Yakult Swallows","Taishi Hirooka",19,2,7,7,2,3,0,0,1,3,0,0,0,2,0.429,0.429,0.857,1.286,6,0,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","hirook000tai"
98,2016,"Yakult Swallows","Wataru Hiyane",29,76,142,126,17,29,4,2,0,5,8,1,8,15,0.23,0.276,0.294,0.57,37,0,0,8,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","hiyane000wat"
99,2016,"Yakult Swallows","Yasushi Iihara",33,63,77,67,11,15,3,0,3,9,0,0,8,19,0.224,0.316,0.403,0.719,27,2,1,1,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","iihara001yas"
100,2016,"Yakult Swallows","Takahiro Imanami",31,94,240,201,22,56,9,3,1,28,0,1,30,25,0.279,0.371,0.368,0.739,74,3,2,3,4,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","imanam001tak"
101,2016,"Yakult Swallows","Suguru Ino",32,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ino---001sug"
102,2016,"Yakult Swallows","Masanori Ishikawa",36,20,39,34,0,1,0,0,0,0,0,0,1,12,0.029,0.057,0.029,0.087,1,1,0,4,0,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","ishika001mas"
103,2016,"Yakult Swallows","Shingo Kawabata",28,103,458,420,48,127,22,1,1,32,3,0,34,31,0.302,0.354,0.367,0.721,154,13,1,1,2,0,"","2017-09-25 13:03:23","2017-10-02 12:37:19","kawaba001shi"
