id,year,"team_name","pit_name",age,wins,losses,win_loss_perc,earned_run_avg,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,homeruns,walks,intentional_bb,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,whip,hits_per_nine,homeruns_per_nine,walks_per_nine,strikeouts_per_nine,strikeouts_per_walks,"notes","created_at","updated_at","pitcher_id"
51,2016,"Saitama Seibu Lions","Makoto Aiuchi",21,0,2,0,11.74,2,2,0,0,0,0,7.2,11,10,10,0,7,0,4,0,2,1,37,2.348,12.9,0,8.2,4.7,0.57,"",NULL,NULL,"aiuchi000mak"
52,2016,"Saitama Seibu Lions","Ryohei Fujiwara",30,2,0,1,2.08,10,0,1,0,0,0,13,11,3,3,0,3,0,9,1,0,0,52,1.077,7.6,0,2.1,6.2,3,"",NULL,NULL,"fujiwa000ryo"
53,2016,"Saitama Seibu Lions","Keisuke Honda",23,0,1,0,7.71,2,1,1,0,0,0,4.2,8,4,4,0,1,0,3,1,0,0,23,1.929,15.4,0,1.9,5.8,3,"",NULL,NULL,"honda-000kei"
54,2016,"Saitama Seibu Lions","Toshihiro Iwao",28,0,0,0,9,2,0,1,0,0,0,3,5,3,3,0,2,0,1,0,0,0,13,2.333,15,0,6,3,0.5,"",NULL,NULL,"iwao--001tos"
55,2016,"Saitama Seibu Lions","Yusei Kikuchi",25,12,7,0.632,2.58,22,22,0,2,0,0,143,117,51,41,7,67,0,127,2,0,3,595,1.287,7.4,0.4,4.2,8,1.9,"",NULL,NULL,"kikuch000yus"
56,2016,"Saitama Seibu Lions","Takayuki Kishi",31,9,7,0.563,2.49,19,19,0,2,1,0,130.1,123,42,36,8,36,0,104,1,0,0,541,1.22,8.5,0.6,2.5,7.2,2.89,"",NULL,NULL,"kishi-001tak"
57,2016,"Saitama Seibu Lions","Hirotaka Koishi",29,0,2,0,3.74,50,0,11,0,0,1,74.2,62,33,31,2,39,2,55,13,0,3,324,1.353,7.5,0.2,4.7,6.6,1.41,"",NULL,NULL,"koishi000hir"
58,2016,"Saitama Seibu Lions","Tsubasa Kokuba",22,0,0,0,0,2,0,1,0,0,0,3,2,0,0,0,3,0,4,0,0,1,12,1.667,6,0,9,12,1.33,"",NULL,NULL,"kokuba000tsu"
59,2016,"Saitama Seibu Lions","Chun-Lin Kuo",24,0,3,0,8.46,12,3,1,0,0,0,22.1,28,23,21,2,10,0,20,4,0,2,107,1.701,11.3,0.8,4,8.1,2,"",NULL,NULL,"kuo---000chu"
60,2016,"Saitama Seibu Lions","C.C. Lee",29,0,0,0,6.48,18,0,9,0,0,0,16.2,25,14,12,1,5,0,13,0,1,3,80,1.8,13.5,0.5,2.7,7,2.6,"",NULL,NULL,"lee---001che"
61,2016,"Saitama Seibu Lions","Kazuhisa Makita",31,7,1,0.875,1.6,50,0,7,0,0,0,78.2,54,15,14,3,16,2,43,10,0,0,312,0.89,6.2,0.3,1.8,4.9,2.69,"",NULL,NULL,"makita000kaz"
62,2016,"Saitama Seibu Lions","Tatsushi Masuda",28,3,5,0.375,1.66,53,0,47,0,0,28,54.1,51,13,10,1,15,5,53,2,0,0,232,1.215,8.4,0.2,2.5,8.8,3.53,"",NULL,NULL,"masuda000tat"
63,2016,"Saitama Seibu Lions","Naoaki Matsumoto",25,0,0,0,0,2,0,0,0,0,0,2.2,3,0,0,0,2,0,1,0,0,1,12,1.875,10.1,0,6.8,3.4,0.5,"",NULL,NULL,"matsum002nao"
64,2016,"Saitama Seibu Lions","Tadasuke Minamikawa",24,0,0,0,2.25,4,0,1,0,0,0,4,3,1,1,0,4,0,1,0,1,0,19,1.75,6.8,0,9,2.3,0.25,"",NULL,NULL,"minami000tad"
65,2016,"Saitama Seibu Lions","Yuta Nakazaki",25,0,0,0,6,8,0,5,0,0,0,6,4,4,4,1,2,0,3,1,0,0,23,1,6,1.5,3,4.5,1.5,"",NULL,NULL,"nakaza000yut"
66,2016,"Saitama Seibu Lions","Shogo Noda",23,0,0,0,3.93,22,0,7,0,0,0,18.1,21,8,8,1,5,0,15,1,0,0,80,1.418,10.3,0.5,2.5,7.4,3,"",NULL,NULL,"noda--000sho"
67,2016,"Saitama Seibu Lions","Ryoma Nogami",29,3,9,0.25,3.87,22,18,2,0,0,1,107,112,56,46,10,43,0,62,5,0,3,474,1.449,9.4,0.8,3.6,5.2,1.44,"",NULL,NULL,"nogami001ryo"
68,2016,"Saitama Seibu Lions","Tatsuya Oishi",27,1,0,1,1.71,36,0,9,0,0,0,31.2,18,6,6,2,16,0,36,0,0,4,126,1.074,5.1,0.6,4.5,10.2,2.25,"",NULL,NULL,"oishi-000tat"
69,2016,"Saitama Seibu Lions","Atsushi Okamoto",35,0,0,0,6.75,4,0,0,0,0,0,2.2,4,2,2,0,2,0,2,0,0,0,13,2.25,13.5,0,6.8,6.8,1,"",NULL,NULL,"okamot001ats"
70,2016,"Saitama Seibu Lions","Yosuke Okamoto",30,0,0,0,19.29,4,0,1,0,0,0,4.2,10,10,10,0,4,0,1,0,0,1,27,3,19.3,0,7.7,1.9,0.25,"",NULL,NULL,"okamot001yos"
71,2016,"Saitama Seibu Lions","Felipe Paulino",32,0,6,0,4.7,9,8,0,0,0,0,44,44,31,23,3,25,0,32,2,0,4,203,1.568,9,0.6,5.1,6.5,1.28,"",NULL,NULL,"paulin001fel"
72,2016,"Saitama Seibu Lions","Yasuo Sano",23,1,1,0.5,3.29,15,0,0,0,0,0,27.1,22,14,10,2,15,0,11,1,0,1,116,1.354,7.2,0.7,4.9,3.6,0.73,"",NULL,NULL,"sano--000yas"
73,2016,"Saitama Seibu Lions","Isamu Sato",21,1,3,0.25,5.76,7,4,1,0,0,0,25,24,16,16,3,13,0,17,5,0,3,111,1.48,8.6,1.1,4.7,6.1,1.31,"",NULL,NULL,"sato--000isa"
74,2016,"Saitama Seibu Lions","Kona Takahashi",19,4,11,0.267,4.42,22,19,1,2,1,0,118,134,73,58,10,51,0,89,5,0,12,529,1.568,10.2,0.8,3.9,6.8,1.75,"",NULL,NULL,"takaha000kon"
75,2016,"Saitama Seibu Lions","Tomomi Takahashi",27,1,0,1,1.69,7,0,1,0,0,1,5.1,5,1,1,0,3,0,2,0,0,0,23,1.5,8.4,0,5.1,3.4,0.67,"",NULL,NULL,"takaha000tom"
76,2016,"Saitama Seibu Lions","Shota Takekuma",26,5,3,0.625,3.54,64,0,14,0,0,0,61,58,24,24,5,20,0,53,1,0,3,261,1.279,8.6,0.7,3,7.8,2.65,"",NULL,NULL,"takeku001sho"
77,2016,"Saitama Seibu Lions","Shinsaburo Tawata",23,7,5,0.583,4.38,18,18,0,2,1,0,98.2,101,51,48,6,40,0,91,8,0,10,433,1.429,9.2,0.5,3.6,8.3,2.28,"",NULL,NULL,"tawata000shi"
78,2016,"Saitama Seibu Lions","Ken Togame",28,4,6,0.4,6.31,21,13,1,0,0,0,71.1,85,55,50,3,31,0,41,9,0,2,335,1.626,10.7,0.4,3.9,5.2,1.32,"",NULL,NULL,"togame000ken"
79,2016,"Saitama Seibu Lions","Takuya Toyoda",29,0,0,0,1.5,6,0,1,0,0,0,6,7,1,1,0,3,0,7,0,0,1,29,1.667,10.5,0,4.5,10.5,2.33,"",NULL,NULL,"toyoda000tak"
80,2016,"Saitama Seibu Lions","Andy Van Hekken",36,0,4,0,6.31,10,10,0,0,0,0,45.2,59,34,32,3,26,0,35,2,0,1,218,1.861,11.6,0.6,5.1,6.9,1.35,"",NULL,NULL,"vanhek001and"
81,2016,"Saitama Seibu Lions","Esmerling Vasquez",32,0,0,0,5.51,19,0,4,0,0,0,16.1,12,11,10,2,11,0,13,1,0,2,75,1.408,6.6,1.1,6.1,7.2,1.18,"",NULL,NULL,"vasque001esm"
82,2016,"Saitama Seibu Lions","Brian Wolfe",35,4,0,1,3.04,4,4,0,0,0,0,23.2,26,9,8,3,4,0,8,1,0,0,96,1.268,9.9,1.1,1.5,3,2,"",NULL,NULL,"wolfe-001bri"
83,2016,"Tohoku Rakuten Golden Eagles","Kazutomo Aihara",26,0,0,0,45,2,0,0,0,0,0,1,5,5,5,0,4,0,1,0,0,2,12,9,45,0,36,9,0.25,"",NULL,NULL,"aihara000kaz"
84,2016,"Tohoku Rakuten Golden Eagles","Tomohiro Anraku",19,3,5,0.375,3.42,15,12,3,0,0,0,84.1,79,33,32,9,22,0,64,4,1,2,349,1.198,8.4,1,2.3,6.8,2.91,"",NULL,NULL,"anraku000tom"
85,2016,"Tohoku Rakuten Golden Eagles","Koji Aoyama",32,1,5,0.167,4.83,50,0,14,0,0,0,50.1,53,29,27,5,24,0,46,0,0,3,227,1.53,9.5,0.9,4.3,8.2,1.92,"",NULL,NULL,"aoyama001koj"
